cell_index,orginal_cell_index,cell_type,coordinates,neighbors,velocity,midpoint,area,oil_amount,scaled_normals
3092,3270,Sim_Triangle,"[(np.float64(0.4735058787550061), np.float64(0.5514817047788215)), (np.float64(0.4682111233957446), np.float64(0.5321981859324645)), (np.float64(0.4871993590617352), np.float64(0.5372405303415645))]","[{600: [np.int64(745), np.int64(1715)]}, {2241: [np.int64(633), np.int64(745)]}, {3181: [np.int64(633), np.int64(1715)]}]",[ 0.44504572 -0.47630545],"[np.float64(0.47630545373749533), np.float64(0.5403068070176169)]",0.00016973101012043724,2.5293057699694857e-28,"[{2241: array([-0.01928352,  0.00529476])}, {600: array([ 0.00504234, -0.01898824])}, {3181: array([0.01424117, 0.01369348])}]"
3093,3271,Sim_Triangle,"[(np.float64(0.9312513061469021), np.float64(0.01853029189426881)), (np.float64(0.9306628983631493), np.float64(0.03950317409759469)), (np.float64(0.918475123138476), np.float64(0.02935120663640032))]","[{312: [np.int64(234), np.int64(1452)]}, {3374: [np.int64(1824), np.int64(1452)]}, {3651: [np.int64(1824), np.int64(234)]}]",[-0.15623106 -0.92679644],"[np.float64(0.9267964425495091), np.float64(0.029128224209421277)]",0.00013079313539112925,3.9016134544265763e-16,"[{312: array([0.02097288, 0.00058841])}, {3374: array([-0.01015197,  0.01218778])}, {3651: array([-0.01082091, -0.01277618])}]"
3094,3272,Sim_Triangle,"[(np.float64(0.9653592420438623), np.float64(0.09999955350335167)), (np.float64(0.9804976243893642), np.float64(0.1124647607336276)), (np.float64(0.9618159329027081), np.float64(0.1158452990206213))]","[{253: [np.int64(213), np.int64(1807)]}, {497: [np.int64(1447), np.int64(1807)]}, {1789: [np.int64(213), np.int64(1447)]}]",[-0.08440832 -0.96922427],"[np.float64(0.9692242664453116), np.float64(0.10943653775253352)]",0.0001420235184576843,1.549521673346434e-21,"[{1789: array([ 0.01246521, -0.01513838])}, {253: array([0.00338054, 0.01868169])}, {497: array([-0.01584575, -0.00354331])}]"
3095,3273,Sim_Triangle,"[(np.float64(0.7760042333463213), np.float64(0.7613305972524302)), (np.float64(0.7563696262879283), np.float64(0.7703833714494505)), (np.float64(0.7552181852146174), np.float64(0.7508633948911283))]","[{2529: [np.int64(122), np.int64(203)]}, {3186: [np.int64(1744), np.int64(203)]}, {3386: [np.int64(1744), np.int64(122)]}]",[ 0.60835298 -0.76253068],"[np.float64(0.762530681616289), np.float64(0.7608591211976696)]",0.0001968454027747785,9.932555517108807e-97,"[{2529: array([0.00905277, 0.01963461])}, {3386: array([-0.01951998,  0.00115144])}, {3186: array([ 0.0104672 , -0.02078605])}]"
3096,3274,Sim_Triangle,"[(np.float64(0.5377306687546521), np.float64(0.6801072241478353)), (np.float64(0.5186213504890096), np.float64(0.6750812183401058)), (np.float64(0.5341299681021374), np.float64(0.6604480328078012))]","[{129: [np.int64(134), np.int64(135)]}, {383: [np.int64(1741), np.int64(135)]}, {3416: [np.int64(1741), np.int64(134)]}]",[ 0.56584669 -0.53016066],"[np.float64(0.5301606624485997), np.float64(0.6718788250985807)]",0.00017878830088522086,1.0288403977102827e-52,"[{129: array([-0.00502601,  0.01910932])}, {383: array([-0.01463319, -0.01550862])}, {3416: array([ 0.01965919, -0.0036007 ])}]"
3097,3275,Sim_Triangle,"[(np.float64(0.3174927919168755), np.float64(0.170531666819209)), (np.float64(0.3038489702670429), np.float64(0.1846736504390024)), (np.float64(0.2984665832318234), np.float64(0.1656649641379417))]","[{495: [np.int64(1682), np.int64(367)]}, {3243: [np.int64(1730), np.int64(1682)]}, {3253: [np.int64(1730), np.int64(367)]}]",[ 0.11230287 -0.30660278],"[np.float64(0.30660278180524725), np.float64(0.17362342713205103)]",0.00016773437748837563,2.16528311180957e-09,"[{495: array([0.01414198, 0.01364382])}, {3253: array([-0.01900869,  0.00538239])}, {3243: array([ 0.0048667 , -0.01902621])}]"
3098,3276,Sim_Triangle,"[(np.float64(0.9486969925251586), np.float64(0.1966151589635226)), (np.float64(0.9449778793805713), np.float64(0.1783309280462912)), (np.float64(0.9636837247024963), np.float64(0.1835520537753314))]","[{3040: [np.int64(1713), np.int64(982)]}, {3284: [np.int64(1713), np.int64(1714)]}, {3525: [np.int64(1714), np.int64(982)]}]",[-0.00432453 -0.95245287],"[np.float64(0.9524528655360754), np.float64(0.18616604692838176)]",0.00016130201901983656,2.508957555391793e-24,"[{3040: array([-0.01828423,  0.00371911])}, {3284: array([ 0.00522113, -0.01870585])}, {3525: array([0.01306311, 0.01498673])}]"
3099,3277,Sim_Triangle,"[(np.float64(0.3895271012306755), np.float64(0.05104291646215432)), (np.float64(0.4084811216120168), np.float64(0.05279846041155767)), (np.float64(0.3963217573176348), np.float64(0.06782525855948185))]","[{1218: [np.int64(1252), np.int64(1254)]}, {3278: [np.int64(1757), np.int64(1254)]}, {3664: [np.int64(1252), np.int64(1757)]}]",[-0.02239979 -0.39810999],"[np.float64(0.3981099933867757), np.float64(0.057222211811064606)]",0.00015308226838882462,0.0002103153918474774,"[{1218: array([ 0.00175554, -0.01895402])}, {3278: array([0.0150268 , 0.01215936])}, {3664: array([-0.01678234,  0.00679466])}]"
3100,3278,Sim_Triangle,"[(np.float64(0.4084811216120168), np.float64(0.05279846041155767)), (np.float64(0.4151319885626818), np.float64(0.0712033719346642)), (np.float64(0.3963217573176348), np.float64(0.06782525855948185))]","[{540: [np.int64(1373), np.int64(1254)]}, {3277: [np.int64(1757), np.int64(1254)]}, {3503: [np.int64(1373), np.int64(1757)]}]",[-0.01738663 -0.40664496],"[np.float64(0.4066449558307778), np.float64(0.06394236363523458)]",0.00016186662959583205,0.000140574267554073,"[{540: array([ 0.01840491, -0.00665087])}, {3503: array([-0.00337811,  0.01881023])}, {3277: array([-0.0150268 , -0.01215936])}]"
3101,3279,Sim_Triangle,"[(np.float64(0.8441872297371766), np.float64(0.2049338358362366)), (np.float64(0.8391253308134076), np.float64(0.1858416374734138)), (np.float64(0.8583603417605087), np.float64(0.1909875844345887))]","[{3209: [np.int64(1706), np.int64(1067)]}, {3213: [np.int64(1706), np.int64(1707)]}, {3250: [np.int64(1067), np.int64(1707)]}]",[ 0.02447616 -0.8472243 ],"[np.float64(0.8472243007703643), np.float64(0.1939210192480797)]",0.00017059519056428915,2.1131666079629685e-17,"[{3209: array([-0.0190922,  0.0050619])}, {3213: array([ 0.00514595, -0.01923501])}, {3250: array([0.01394625, 0.01417311])}]"
3102,3280,Sim_Triangle,"[(np.float64(1.0), np.float64(0.01999999999996237)), (np.float64(1.0), np.float64(0.03999999999992186)), (np.float64(0.9836011539707052), np.float64(0.03061358813285512))]","[{51: [np.int64(57), np.int64(58)]}, {3363: [np.int64(1737), np.int64(58)]}, {3628: [np.int64(57), np.int64(1737)]}]",[-0.16870221 -0.99453372],"[np.float64(0.994533717990235), np.float64(0.03020452937757978)]",0.0001639884602926154,4.9607242052856535e-22,"[{51: array([ 0.02, -0.  ])}, {3363: array([-0.00938641,  0.01639885])}, {3628: array([-0.01061359, -0.01639885])}]"
3103,3281,Sim_Triangle,"[(np.float64(0.9828788584619388), np.float64(0.05016518311040286)), (np.float64(0.9660592825808261), np.float64(0.03987870166235784)), (np.float64(0.9836011539707052), np.float64(0.03061358813285512))]","[{382: [np.int64(1449), np.int64(1737)]}, {1843: [np.int64(1448), np.int64(1449)]}, {3363: [np.int64(1448), np.int64(1737)]}]",[-0.15528346 -0.9775131 ],"[np.float64(0.9775130983378233), np.float64(0.040219157635205276)]",0.00016813970733628943,1.8058136599554392e-20,"[{1843: array([-0.01028648,  0.01681958])}, {382: array([-0.00926511, -0.01754187])}, {3363: array([0.01955159, 0.0007223 ])}]"
3104,3282,Sim_Triangle,"[(np.float64(0.8969209909834205), np.float64(0.2012557497282769)), (np.float64(0.8919307067132816), np.float64(0.1821378847191021)), (np.float64(0.9111676745202884), np.float64(0.187230287027209))]","[{692: [np.int64(818), np.int64(1710)]}, {3218: [np.int64(818), np.int64(1711)]}, {3301: [np.int64(1710), np.int64(1711)]}]",[ 0.01020668 -0.90000646],"[np.float64(0.9000064574056634), np.float64(0.19020797382486268)]",0.00017117860929241594,1.9929317581823274e-20,"[{692: array([-0.01911787,  0.00499028])}, {3301: array([ 0.0050924 , -0.01923697])}, {3218: array([0.01402546, 0.01424668])}]"
3105,3283,Sim_Triangle,"[(np.float64(0.9669013457356828), np.float64(0.9005698687885211)), (np.float64(0.9833806358341857), np.float64(0.910107198458415)), (np.float64(0.9670661952715365), np.float64(0.9187623412281575))]","[{777: [np.int64(1209), np.int64(245)]}, {3486: [np.int64(1209), np.int64(1769)]}, {3524: [np.int64(1769), np.int64(245)]}]",[ 0.71532326 -0.97244939],"[np.float64(0.9724493922804683), np.float64(0.9098131361583645)]",0.0001491134032862106,1.1476685595757123e-126,"[{777: array([ 0.00953733, -0.01647929])}, {3524: array([0.00865514, 0.01631444])}, {3486: array([-0.01819247,  0.00016485])}]"
3106,3284,Sim_Triangle,"[(np.float64(0.9449778793805713), np.float64(0.1783309280462912)), (np.float64(0.9581012910947077), np.float64(0.1646310615725519)), (np.float64(0.9636837247024963), np.float64(0.1835520537753314))]","[{239: [np.int64(1714), np.int64(1110)]}, {3267: [np.int64(1713), np.int64(1110)]}, {3276: [np.int64(1713), np.int64(1714)]}]",[-0.01561285 -0.95558763],"[np.float64(0.955587631725925), np.float64(0.17550468113139148)]",0.0001623932828711291,4.00781632162195e-24,"[{3267: array([-0.01369987, -0.01312341])}, {239: array([ 0.01892099, -0.00558243])}, {3276: array([-0.00522113,  0.01870585])}]"
3107,3285,Sim_Triangle,"[(np.float64(0.9479368259434017), np.float64(0.3941781699391245)), (np.float64(0.9645175752762294), np.float64(0.3784804603700385)), (np.float64(0.9667238320805107), np.float64(0.4009599923553054))]","[{412: [np.int64(1738), np.int64(980)]}, {2340: [np.int64(976), np.int64(980)]}, {3366: [np.int64(976), np.int64(1738)]}]",[ 0.19926099 -0.95972608],"[np.float64(0.9597260777667139), np.float64(0.3912062075548228)]",0.00020368033175771047,4.862357176402675e-43,"[{2340: array([-0.01569771, -0.01658075])}, {412: array([ 0.02247953, -0.00220626])}, {3366: array([-0.00678182,  0.01878701])}]"
