cell_index,orginal_cell_index,cell_type,coordinates,neighbors,velocity,midpoint,area,oil_amount,scaled_normals
0,0,Sim_Line,"[(np.float64(-0.0), np.float64(-0.0)), (np.float64(0.01999999999996237), np.float64(0.0))]",,[-0.002 -0.01 ],"[np.float64(0.009999999999981185), np.float64(0.0)]",0.0,0.0,[]
1,1,Sim_Line,"[(np.float64(0.01999999999996237), np.float64(0.0)), (np.float64(0.03999999999992186), np.float64(0.0))]",,[-0.006 -0.03 ],"[np.float64(0.029999999999942115), np.float64(0.0)]",0.0,0.0,[]
2,2,Sim_Line,"[(np.float64(0.03999999999992186), np.float64(0.0)), (np.float64(0.05999999999987837), np.float64(0.0))]",,[-0.01 -0.05],"[np.float64(0.04999999999990012), np.float64(0.0)]",0.0,0.0,[]
3,3,Sim_Line,"[(np.float64(0.05999999999987837), np.float64(0.0)), (np.float64(0.07999999999984518), np.float64(0.0))]",,[-0.014 -0.07 ],"[np.float64(0.06999999999986178), np.float64(0.0)]",0.0,0.0,[]
4,4,Sim_Line,"[(np.float64(0.07999999999984518), np.float64(0.0)), (np.float64(0.09999999999981463), np.float64(0.0))]",,[-0.018 -0.09 ],"[np.float64(0.08999999999982991), np.float64(0.0)]",0.0,0.0,[]
5,5,Sim_Line,"[(np.float64(0.09999999999981463), np.float64(0.0)), (np.float64(0.1199999999997832), np.float64(0.0))]",,[-0.022 -0.11 ],"[np.float64(0.10999999999979891), np.float64(0.0)]",0.0,0.0,[]
6,6,Sim_Line,"[(np.float64(0.1199999999997832), np.float64(0.0)), (np.float64(0.1399999999997328), np.float64(0.0))]",,[-0.026 -0.13 ],"[np.float64(0.129999999999758), np.float64(0.0)]",0.0,0.0,[]
7,7,Sim_Line,"[(np.float64(0.1399999999997328), np.float64(0.0)), (np.float64(0.1599999999996745), np.float64(0.0))]",,[-0.03 -0.15],"[np.float64(0.14999999999970365), np.float64(0.0)]",0.0,0.0,[]
8,8,Sim_Line,"[(np.float64(0.1599999999996745), np.float64(0.0)), (np.float64(0.1799999999996162), np.float64(0.0))]",,[-0.034 -0.17 ],"[np.float64(0.16999999999964535), np.float64(0.0)]",0.0,0.0,[]
9,9,Sim_Line,"[(np.float64(0.1799999999996162), np.float64(0.0)), (np.float64(0.1999999999995579), np.float64(0.0))]",,[-0.038 -0.19 ],"[np.float64(0.18999999999958705), np.float64(0.0)]",0.0,0.0,[]
10,10,Sim_Line,"[(np.float64(0.1999999999995579), np.float64(0.0)), (np.float64(0.2199999999994996), np.float64(0.0))]",,[-0.042 -0.21 ],"[np.float64(0.20999999999952873), np.float64(0.0)]",0.0,0.0,[]
11,11,Sim_Line,"[(np.float64(0.2199999999994996), np.float64(0.0)), (np.float64(0.2399999999994413), np.float64(0.0))]",,[-0.046 -0.23 ],"[np.float64(0.22999999999947046), np.float64(0.0)]",0.0,0.0,[]
12,12,Sim_Line,"[(np.float64(0.2399999999994413), np.float64(0.0)), (np.float64(0.259999999999383), np.float64(0.0))]",,[-0.05 -0.25],"[np.float64(0.24999999999941214), np.float64(0.0)]",0.0,0.0,[]
13,13,Sim_Line,"[(np.float64(0.259999999999383), np.float64(0.0)), (np.float64(0.2799999999993247), np.float64(0.0))]",,[-0.054 -0.27 ],"[np.float64(0.26999999999935387), np.float64(0.0)]",0.0,0.0,[]
14,14,Sim_Line,"[(np.float64(0.2799999999993247), np.float64(0.0)), (np.float64(0.2999999999992664), np.float64(0.0))]",,[-0.058 -0.29 ],"[np.float64(0.28999999999929554), np.float64(0.0)]",0.0,0.0,[]
15,15,Sim_Line,"[(np.float64(0.2999999999992664), np.float64(0.0)), (np.float64(0.3199999999992081), np.float64(0.0))]",,[-0.062 -0.31 ],"[np.float64(0.3099999999992372), np.float64(0.0)]",0.0,0.0,[]
16,16,Sim_Line,"[(np.float64(0.3199999999992081), np.float64(0.0)), (np.float64(0.3399999999991498), np.float64(0.0))]",,[-0.066 -0.33 ],"[np.float64(0.32999999999917895), np.float64(0.0)]",0.0,0.0,[]
17,17,Sim_Line,"[(np.float64(0.3399999999991498), np.float64(0.0)), (np.float64(0.3599999999990915), np.float64(0.0))]",,[-0.07 -0.35],"[np.float64(0.3499999999991207), np.float64(0.0)]",0.0,0.0,[]
18,18,Sim_Line,"[(np.float64(0.3599999999990915), np.float64(0.0)), (np.float64(0.3799999999990332), np.float64(0.0))]",,[-0.074 -0.37 ],"[np.float64(0.36999999999906236), np.float64(0.0)]",0.0,0.0,[]
19,19,Sim_Line,"[(np.float64(0.3799999999990332), np.float64(0.0)), (np.float64(0.3999999999989749), np.float64(0.0))]",,[-0.078 -0.39 ],"[np.float64(0.38999999999900403), np.float64(0.0)]",0.0,0.0,[]
20,20,Sim_Line,"[(np.float64(0.3999999999989749), np.float64(0.0)), (np.float64(0.4199999999989167), np.float64(0.0))]",,[-0.082 -0.41 ],"[np.float64(0.40999999999894576), np.float64(0.0)]",0.0,0.0,[]
21,21,Sim_Line,"[(np.float64(0.4199999999989167), np.float64(0.0)), (np.float64(0.4399999999988584), np.float64(0.0))]",,[-0.086 -0.43 ],"[np.float64(0.42999999999888755), np.float64(0.0)]",0.0,0.0,[]
22,22,Sim_Line,"[(np.float64(0.4399999999988584), np.float64(0.0)), (np.float64(0.4599999999988), np.float64(0.0))]",,[-0.09 -0.45],"[np.float64(0.4499999999988292), np.float64(0.0)]",0.0,0.0,[]
23,23,Sim_Line,"[(np.float64(0.4599999999988), np.float64(0.0)), (np.float64(0.4799999999987418), np.float64(0.0))]",,[-0.094 -0.47 ],"[np.float64(0.4699999999987709), np.float64(0.0)]",0.0,0.0,[]
24,24,Sim_Line,"[(np.float64(0.4799999999987418), np.float64(0.0)), (np.float64(0.4999999999986943), np.float64(0.0))]",,[-0.098 -0.49 ],"[np.float64(0.48999999999871807), np.float64(0.0)]",0.0,0.0,[]
25,25,Sim_Line,"[(np.float64(0.4999999999986943), np.float64(0.0)), (np.float64(0.5199999999987361), np.float64(0.0))]",,[-0.102 -0.51 ],"[np.float64(0.5099999999987153), np.float64(0.0)]",0.0,0.0,[]
26,26,Sim_Line,"[(np.float64(0.5199999999987361), np.float64(0.0)), (np.float64(0.5399999999987888), np.float64(0.0))]",,[-0.106 -0.53 ],"[np.float64(0.5299999999987625), np.float64(0.0)]",0.0,0.0,[]
27,27,Sim_Line,"[(np.float64(0.5399999999987888), np.float64(0.0)), (np.float64(0.5599999999988415), np.float64(0.0))]",,[-0.11 -0.55],"[np.float64(0.5499999999988152), np.float64(0.0)]",0.0,0.0,[]
28,28,Sim_Line,"[(np.float64(0.5599999999988415), np.float64(0.0)), (np.float64(0.5799999999988942), np.float64(0.0))]",,[-0.114 -0.57 ],"[np.float64(0.5699999999988679), np.float64(0.0)]",0.0,0.0,[]
29,29,Sim_Line,"[(np.float64(0.5799999999988942), np.float64(0.0)), (np.float64(0.5999999999989468), np.float64(0.0))]",,[-0.118 -0.59 ],"[np.float64(0.5899999999989205), np.float64(0.0)]",0.0,0.0,[]
30,30,Sim_Line,"[(np.float64(0.5999999999989468), np.float64(0.0)), (np.float64(0.6199999999989995), np.float64(0.0))]",,[-0.122 -0.61 ],"[np.float64(0.6099999999989731), np.float64(0.0)]",0.0,0.0,[]
31,31,Sim_Line,"[(np.float64(0.6199999999989995), np.float64(0.0)), (np.float64(0.6399999999990521), np.float64(0.0))]",,[-0.126 -0.63 ],"[np.float64(0.6299999999990258), np.float64(0.0)]",0.0,0.0,[]
32,32,Sim_Line,"[(np.float64(0.6399999999990521), np.float64(0.0)), (np.float64(0.6599999999991049), np.float64(0.0))]",,[-0.13 -0.65],"[np.float64(0.6499999999990784), np.float64(0.0)]",0.0,0.0,[]
33,33,Sim_Line,"[(np.float64(0.6599999999991049), np.float64(0.0)), (np.float64(0.6799999999991574), np.float64(0.0))]",,[-0.134 -0.67 ],"[np.float64(0.6699999999991311), np.float64(0.0)]",0.0,0.0,[]
34,34,Sim_Line,"[(np.float64(0.6799999999991574), np.float64(0.0)), (np.float64(0.6999999999992101), np.float64(0.0))]",,[-0.138 -0.69 ],"[np.float64(0.6899999999991837), np.float64(0.0)]",0.0,0.0,[]
35,35,Sim_Line,"[(np.float64(0.6999999999992101), np.float64(0.0)), (np.float64(0.7199999999992628), np.float64(0.0))]",,[-0.142 -0.71 ],"[np.float64(0.7099999999992365), np.float64(0.0)]",0.0,0.0,[]
36,36,Sim_Line,"[(np.float64(0.7199999999992628), np.float64(0.0)), (np.float64(0.7399999999993154), np.float64(0.0))]",,[-0.146 -0.73 ],"[np.float64(0.7299999999992891), np.float64(0.0)]",0.0,0.0,[]
37,37,Sim_Line,"[(np.float64(0.7399999999993154), np.float64(0.0)), (np.float64(0.7599999999993681), np.float64(0.0))]",,[-0.15 -0.75],"[np.float64(0.7499999999993417), np.float64(0.0)]",0.0,0.0,[]
38,38,Sim_Line,"[(np.float64(0.7599999999993681), np.float64(0.0)), (np.float64(0.7799999999994207), np.float64(0.0))]",,[-0.154 -0.77 ],"[np.float64(0.7699999999993944), np.float64(0.0)]",0.0,0.0,[]
39,39,Sim_Line,"[(np.float64(0.7799999999994207), np.float64(0.0)), (np.float64(0.7999999999994734), np.float64(0.0))]",,[-0.158 -0.79 ],"[np.float64(0.789999999999447), np.float64(0.0)]",0.0,0.0,[]
40,40,Sim_Line,"[(np.float64(0.7999999999994734), np.float64(0.0)), (np.float64(0.8199999999995261), np.float64(0.0))]",,[-0.162 -0.81 ],"[np.float64(0.8099999999994998), np.float64(0.0)]",0.0,0.0,[]
41,41,Sim_Line,"[(np.float64(0.8199999999995261), np.float64(0.0)), (np.float64(0.8399999999995788), np.float64(0.0))]",,[-0.166 -0.83 ],"[np.float64(0.8299999999995524), np.float64(0.0)]",0.0,0.0,[]
42,42,Sim_Line,"[(np.float64(0.8399999999995788), np.float64(0.0)), (np.float64(0.8599999999996314), np.float64(0.0))]",,[-0.17 -0.85],"[np.float64(0.8499999999996051), np.float64(0.0)]",0.0,0.0,[]
43,43,Sim_Line,"[(np.float64(0.8599999999996314), np.float64(0.0)), (np.float64(0.8799999999996841), np.float64(0.0))]",,[-0.174 -0.87 ],"[np.float64(0.8699999999996577), np.float64(0.0)]",0.0,0.0,[]
44,44,Sim_Line,"[(np.float64(0.8799999999996841), np.float64(0.0)), (np.float64(0.8999999999997367), np.float64(0.0))]",,[-0.178 -0.89 ],"[np.float64(0.8899999999997104), np.float64(0.0)]",0.0,0.0,[]
45,45,Sim_Line,"[(np.float64(0.8999999999997367), np.float64(0.0)), (np.float64(0.9199999999997894), np.float64(0.0))]",,[-0.182 -0.91 ],"[np.float64(0.909999999999763), np.float64(0.0)]",0.0,0.0,[]
46,46,Sim_Line,"[(np.float64(0.9199999999997894), np.float64(0.0)), (np.float64(0.939999999999842), np.float64(0.0))]",,[-0.186 -0.93 ],"[np.float64(0.9299999999998156), np.float64(0.0)]",0.0,0.0,[]
47,47,Sim_Line,"[(np.float64(0.939999999999842), np.float64(0.0)), (np.float64(0.9599999999998947), np.float64(0.0))]",,[-0.19 -0.95],"[np.float64(0.9499999999998683), np.float64(0.0)]",0.0,0.0,[]
48,48,Sim_Line,"[(np.float64(0.9599999999998947), np.float64(0.0)), (np.float64(0.9799999999999475), np.float64(0.0))]",,[-0.194 -0.97 ],"[np.float64(0.9699999999999211), np.float64(0.0)]",0.0,0.0,[]
49,49,Sim_Line,"[(np.float64(0.9799999999999475), np.float64(0.0)), (np.float64(1.0), np.float64(0.0))]",,[-0.198 -0.99 ],"[np.float64(0.9899999999999738), np.float64(0.0)]",0.0,0.0,[]
0,50,Sim_Line,"[(np.float64(1.0), np.float64(0.0)), (np.float64(1.0), np.float64(0.01999999999996237))]",,[-0.19 -1.  ],"[np.float64(1.0), np.float64(0.009999999999981185)]",0.0,0.0,[]
1,51,Sim_Line,"[(np.float64(1.0), np.float64(0.01999999999996237)), (np.float64(1.0), np.float64(0.03999999999992186))]",,[-0.17 -1.  ],"[np.float64(1.0), np.float64(0.029999999999942115)]",0.0,0.0,[]
2,52,Sim_Line,"[(np.float64(1.0), np.float64(0.03999999999992186)), (np.float64(1.0), np.float64(0.05999999999987837))]",,[-0.15 -1.  ],"[np.float64(1.0), np.float64(0.04999999999990012)]",0.0,0.0,[]
3,53,Sim_Line,"[(np.float64(1.0), np.float64(0.05999999999987837)), (np.float64(1.0), np.float64(0.07999999999984518))]",,[-0.13 -1.  ],"[np.float64(1.0), np.float64(0.06999999999986178)]",0.0,0.0,[]
4,54,Sim_Line,"[(np.float64(1.0), np.float64(0.07999999999984518)), (np.float64(1.0), np.float64(0.09999999999981463))]",,[-0.11 -1.  ],"[np.float64(1.0), np.float64(0.08999999999982991)]",0.0,0.0,[]
5,55,Sim_Line,"[(np.float64(1.0), np.float64(0.09999999999981463)), (np.float64(1.0), np.float64(0.1199999999997832))]",,[-0.09 -1.  ],"[np.float64(1.0), np.float64(0.10999999999979891)]",0.0,0.0,[]
6,56,Sim_Line,"[(np.float64(1.0), np.float64(0.1199999999997832)), (np.float64(1.0), np.float64(0.1399999999997328))]",,[-0.07 -1.  ],"[np.float64(1.0), np.float64(0.129999999999758)]",0.0,0.0,[]
7,57,Sim_Line,"[(np.float64(1.0), np.float64(0.1399999999997328)), (np.float64(1.0), np.float64(0.1599999999996745))]",,[-0.05 -1.  ],"[np.float64(1.0), np.float64(0.14999999999970365)]",0.0,0.0,[]
8,58,Sim_Line,"[(np.float64(1.0), np.float64(0.1599999999996745)), (np.float64(1.0), np.float64(0.1799999999996162))]",,[-0.03 -1.  ],"[np.float64(1.0), np.float64(0.16999999999964535)]",0.0,0.0,[]
9,59,Sim_Line,"[(np.float64(1.0), np.float64(0.1799999999996162)), (np.float64(1.0), np.float64(0.1999999999995579))]",,[-0.01 -1.  ],"[np.float64(1.0), np.float64(0.18999999999958705)]",0.0,0.0,[]
10,60,Sim_Line,"[(np.float64(1.0), np.float64(0.1999999999995579)), (np.float64(1.0), np.float64(0.2199999999994996))]",,[ 0.01 -1.  ],"[np.float64(1.0), np.float64(0.20999999999952873)]",0.0,0.0,[]
11,61,Sim_Line,"[(np.float64(1.0), np.float64(0.2199999999994996)), (np.float64(1.0), np.float64(0.2399999999994413))]",,[ 0.03 -1.  ],"[np.float64(1.0), np.float64(0.22999999999947046)]",0.0,0.0,[]
12,62,Sim_Line,"[(np.float64(1.0), np.float64(0.2399999999994413)), (np.float64(1.0), np.float64(0.259999999999383))]",,[ 0.05 -1.  ],"[np.float64(1.0), np.float64(0.24999999999941214)]",0.0,0.0,[]
13,63,Sim_Line,"[(np.float64(1.0), np.float64(0.259999999999383)), (np.float64(1.0), np.float64(0.2799999999993247))]",,[ 0.07 -1.  ],"[np.float64(1.0), np.float64(0.26999999999935387)]",0.0,0.0,[]
14,64,Sim_Line,"[(np.float64(1.0), np.float64(0.2799999999993247)), (np.float64(1.0), np.float64(0.2999999999992664))]",,[ 0.09 -1.  ],"[np.float64(1.0), np.float64(0.28999999999929554)]",0.0,0.0,[]
15,65,Sim_Line,"[(np.float64(1.0), np.float64(0.2999999999992664)), (np.float64(1.0), np.float64(0.3199999999992081))]",,[ 0.11 -1.  ],"[np.float64(1.0), np.float64(0.3099999999992372)]",0.0,0.0,[]
16,66,Sim_Line,"[(np.float64(1.0), np.float64(0.3199999999992081)), (np.float64(1.0), np.float64(0.3399999999991498))]",,[ 0.13 -1.  ],"[np.float64(1.0), np.float64(0.32999999999917895)]",0.0,0.0,[]
17,67,Sim_Line,"[(np.float64(1.0), np.float64(0.3399999999991498)), (np.float64(1.0), np.float64(0.3599999999990915))]",,[ 0.15 -1.  ],"[np.float64(1.0), np.float64(0.3499999999991207)]",0.0,0.0,[]
18,68,Sim_Line,"[(np.float64(1.0), np.float64(0.3599999999990915)), (np.float64(1.0), np.float64(0.3799999999990332))]",,[ 0.17 -1.  ],"[np.float64(1.0), np.float64(0.36999999999906236)]",0.0,0.0,[]
19,69,Sim_Line,"[(np.float64(1.0), np.float64(0.3799999999990332)), (np.float64(1.0), np.float64(0.3999999999989749))]",,[ 0.19 -1.  ],"[np.float64(1.0), np.float64(0.38999999999900403)]",0.0,0.0,[]
20,70,Sim_Line,"[(np.float64(1.0), np.float64(0.3999999999989749)), (np.float64(1.0), np.float64(0.4199999999989167))]",,[ 0.21 -1.  ],"[np.float64(1.0), np.float64(0.40999999999894576)]",0.0,0.0,[]
21,71,Sim_Line,"[(np.float64(1.0), np.float64(0.4199999999989167)), (np.float64(1.0), np.float64(0.4399999999988584))]",,[ 0.23 -1.  ],"[np.float64(1.0), np.float64(0.42999999999888755)]",0.0,0.0,[]
22,72,Sim_Line,"[(np.float64(1.0), np.float64(0.4399999999988584)), (np.float64(1.0), np.float64(0.4599999999988))]",,[ 0.25 -1.  ],"[np.float64(1.0), np.float64(0.4499999999988292)]",0.0,0.0,[]
23,73,Sim_Line,"[(np.float64(1.0), np.float64(0.4599999999988)), (np.float64(1.0), np.float64(0.4799999999987418))]",,[ 0.27 -1.  ],"[np.float64(1.0), np.float64(0.4699999999987709)]",0.0,0.0,[]
24,74,Sim_Line,"[(np.float64(1.0), np.float64(0.4799999999987418)), (np.float64(1.0), np.float64(0.4999999999986943))]",,[ 0.29 -1.  ],"[np.float64(1.0), np.float64(0.48999999999871807)]",0.0,0.0,[]
25,75,Sim_Line,"[(np.float64(1.0), np.float64(0.4999999999986943)), (np.float64(1.0), np.float64(0.5199999999987361))]",,[ 0.31 -1.  ],"[np.float64(1.0), np.float64(0.5099999999987153)]",0.0,0.0,[]
26,76,Sim_Line,"[(np.float64(1.0), np.float64(0.5199999999987361)), (np.float64(1.0), np.float64(0.5399999999987888))]",,[ 0.33 -1.  ],"[np.float64(1.0), np.float64(0.5299999999987625)]",0.0,0.0,[]
27,77,Sim_Line,"[(np.float64(1.0), np.float64(0.5399999999987888)), (np.float64(1.0), np.float64(0.5599999999988415))]",,[ 0.35 -1.  ],"[np.float64(1.0), np.float64(0.5499999999988152)]",0.0,0.0,[]
28,78,Sim_Line,"[(np.float64(1.0), np.float64(0.5599999999988415)), (np.float64(1.0), np.float64(0.5799999999988942))]",,[ 0.37 -1.  ],"[np.float64(1.0), np.float64(0.5699999999988679)]",0.0,0.0,[]
29,79,Sim_Line,"[(np.float64(1.0), np.float64(0.5799999999988942)), (np.float64(1.0), np.float64(0.5999999999989468))]",,[ 0.39 -1.  ],"[np.float64(1.0), np.float64(0.5899999999989205)]",0.0,0.0,[]
30,80,Sim_Line,"[(np.float64(1.0), np.float64(0.5999999999989468)), (np.float64(1.0), np.float64(0.6199999999989995))]",,[ 0.41 -1.  ],"[np.float64(1.0), np.float64(0.6099999999989731)]",0.0,0.0,[]
31,81,Sim_Line,"[(np.float64(1.0), np.float64(0.6199999999989995)), (np.float64(1.0), np.float64(0.6399999999990521))]",,[ 0.43 -1.  ],"[np.float64(1.0), np.float64(0.6299999999990258)]",0.0,0.0,[]
32,82,Sim_Line,"[(np.float64(1.0), np.float64(0.6399999999990521)), (np.float64(1.0), np.float64(0.6599999999991049))]",,[ 0.45 -1.  ],"[np.float64(1.0), np.float64(0.6499999999990784)]",0.0,0.0,[]
33,83,Sim_Line,"[(np.float64(1.0), np.float64(0.6599999999991049)), (np.float64(1.0), np.float64(0.6799999999991574))]",,[ 0.47 -1.  ],"[np.float64(1.0), np.float64(0.6699999999991311)]",0.0,0.0,[]
34,84,Sim_Line,"[(np.float64(1.0), np.float64(0.6799999999991574)), (np.float64(1.0), np.float64(0.6999999999992101))]",,[ 0.49 -1.  ],"[np.float64(1.0), np.float64(0.6899999999991837)]",0.0,0.0,[]
35,85,Sim_Line,"[(np.float64(1.0), np.float64(0.6999999999992101)), (np.float64(1.0), np.float64(0.7199999999992628))]",,[ 0.51 -1.  ],"[np.float64(1.0), np.float64(0.7099999999992365)]",0.0,0.0,[]
36,86,Sim_Line,"[(np.float64(1.0), np.float64(0.7199999999992628)), (np.float64(1.0), np.float64(0.7399999999993154))]",,[ 0.53 -1.  ],"[np.float64(1.0), np.float64(0.7299999999992891)]",0.0,0.0,[]
37,87,Sim_Line,"[(np.float64(1.0), np.float64(0.7399999999993154)), (np.float64(1.0), np.float64(0.7599999999993681))]",,[ 0.55 -1.  ],"[np.float64(1.0), np.float64(0.7499999999993417)]",0.0,0.0,[]
38,88,Sim_Line,"[(np.float64(1.0), np.float64(0.7599999999993681)), (np.float64(1.0), np.float64(0.7799999999994207))]",,[ 0.57 -1.  ],"[np.float64(1.0), np.float64(0.7699999999993944)]",0.0,0.0,[]
39,89,Sim_Line,"[(np.float64(1.0), np.float64(0.7799999999994207)), (np.float64(1.0), np.float64(0.7999999999994734))]",,[ 0.59 -1.  ],"[np.float64(1.0), np.float64(0.789999999999447)]",0.0,0.0,[]
40,90,Sim_Line,"[(np.float64(1.0), np.float64(0.7999999999994734)), (np.float64(1.0), np.float64(0.8199999999995261))]",,[ 0.61 -1.  ],"[np.float64(1.0), np.float64(0.8099999999994998)]",0.0,0.0,[]
41,91,Sim_Line,"[(np.float64(1.0), np.float64(0.8199999999995261)), (np.float64(1.0), np.float64(0.8399999999995788))]",,[ 0.63 -1.  ],"[np.float64(1.0), np.float64(0.8299999999995524)]",0.0,0.0,[]
42,92,Sim_Line,"[(np.float64(1.0), np.float64(0.8399999999995788)), (np.float64(1.0), np.float64(0.8599999999996314))]",,[ 0.65 -1.  ],"[np.float64(1.0), np.float64(0.8499999999996051)]",0.0,0.0,[]
43,93,Sim_Line,"[(np.float64(1.0), np.float64(0.8599999999996314)), (np.float64(1.0), np.float64(0.8799999999996841))]",,[ 0.67 -1.  ],"[np.float64(1.0), np.float64(0.8699999999996577)]",0.0,0.0,[]
44,94,Sim_Line,"[(np.float64(1.0), np.float64(0.8799999999996841)), (np.float64(1.0), np.float64(0.8999999999997367))]",,[ 0.69 -1.  ],"[np.float64(1.0), np.float64(0.8899999999997104)]",0.0,0.0,[]
45,95,Sim_Line,"[(np.float64(1.0), np.float64(0.8999999999997367)), (np.float64(1.0), np.float64(0.9199999999997894))]",,[ 0.71 -1.  ],"[np.float64(1.0), np.float64(0.909999999999763)]",0.0,0.0,[]
46,96,Sim_Line,"[(np.float64(1.0), np.float64(0.9199999999997894)), (np.float64(1.0), np.float64(0.939999999999842))]",,[ 0.73 -1.  ],"[np.float64(1.0), np.float64(0.9299999999998156)]",0.0,0.0,[]
47,97,Sim_Line,"[(np.float64(1.0), np.float64(0.939999999999842)), (np.float64(1.0), np.float64(0.9599999999998947))]",,[ 0.75 -1.  ],"[np.float64(1.0), np.float64(0.9499999999998683)]",0.0,0.0,[]
48,98,Sim_Line,"[(np.float64(1.0), np.float64(0.9599999999998947)), (np.float64(1.0), np.float64(0.9799999999999475))]",,[ 0.77 -1.  ],"[np.float64(1.0), np.float64(0.9699999999999211)]",0.0,0.0,[]
49,99,Sim_Line,"[(np.float64(1.0), np.float64(0.9799999999999475)), (np.float64(1.0), np.float64(1.0))]",,[ 0.79 -1.  ],"[np.float64(1.0), np.float64(0.9899999999999738)]",0.0,0.0,[]
0,100,Sim_Line,"[(np.float64(1.0), np.float64(1.0)), (np.float64(0.9861403479874106), np.float64(0.9859168749194999))]",,[ 0.7943444  -0.99307017],"[np.float64(0.9930701739937053), np.float64(0.99295843745975)]",0.0,0.0,[]
1,101,Sim_Line,"[(np.float64(0.9861403479874106), np.float64(0.9859168749194999)), (np.float64(0.9724683949064616), np.float64(0.971651337442024))]",,[ 0.78292323 -0.97930437],"[np.float64(0.979304371446936), np.float64(0.978784106180762)]",0.0,0.0,[]
2,102,Sim_Line,"[(np.float64(0.9724683949064616), np.float64(0.971651337442024)), (np.float64(0.9589321757761858), np.float64(0.9572568655661389))]",,[ 0.77131404 -0.96570029],"[np.float64(0.9657002853413237), np.float64(0.9644541015040815)]",0.0,0.0,[]
3,103,Sim_Line,"[(np.float64(0.9589321757761858), np.float64(0.9572568655661389)), (np.float64(0.9454832132447767), np.float64(0.9427807897824919))]",,[ 0.75957729 -0.95220769],"[np.float64(0.9522076945104813), np.float64(0.9500188276743153)]",0.0,0.0,[]
4,104,Sim_Line,"[(np.float64(0.9454832132447767), np.float64(0.9427807897824919)), (np.float64(0.9320752465350233), np.float64(0.9282667147102789))]",,[ 0.74776791 -0.93877923],"[np.float64(0.9387792298899), np.float64(0.9355237522463854)]",0.0,0.0,[]
5,105,Sim_Line,"[(np.float64(0.9320752465350233), np.float64(0.9282667147102789)), (np.float64(0.9186630472319822), np.float64(0.9137565528070072))]",,[ 0.7359378  -0.92536915],"[np.float64(0.9253691468835028), np.float64(0.921011633758643)]",0.0,0.0,[]
6,106,Sim_Line,"[(np.float64(0.9186630472319822), np.float64(0.9137565528070072)), (np.float64(0.9052012806464232), np.float64(0.8992923895626038))]",,[ 0.72413804 -0.91193216],"[np.float64(0.9119321639392027), np.float64(0.9065244711848055)]",0.0,0.0,[]
7,107,Sim_Line,"[(np.float64(0.9052012806464232), np.float64(0.8992923895626038)), (np.float64(0.8916433620495234), np.float64(0.8849183653789068))]",,[ 0.71242091 -0.89842232],"[np.float64(0.8984223213479734), np.float64(0.8921053774707552)]",0.0,0.0,[]
8,108,Sim_Line,"[(np.float64(0.8916433620495234), np.float64(0.8849183653789068)), (np.float64(0.8779402601912857), np.float64(0.8706827651407537))]",,[ 0.7008422  -0.88479181],"[np.float64(0.8847918111204045), np.float64(0.8778005652598302)]",0.0,0.0,[]
9,109,Sim_Line,"[(np.float64(0.8779402601912857), np.float64(0.8706827651407537)), (np.float64(0.8640392021716296), np.float64(0.8566405375943393))]",,[ 0.68946371 -0.87098973],"[np.float64(0.8709897311814576), np.float64(0.8636616513675466)]",0.0,0.0,[]
10,110,Sim_Line,"[(np.float64(0.8640392021716296), np.float64(0.8566405375943393)), (np.float64(0.8498822491225592), np.float64(0.8428565403696263))]",,[ 0.67835639 -0.85696073],"[np.float64(0.8569607256470944), np.float64(0.8497485389819828)]",0.0,0.0,[]
11,111,Sim_Line,"[(np.float64(0.8498822491225592), np.float64(0.8428565403696263)), (np.float64(0.8354047513309247), np.float64(0.8294099312343852))]",,[ 0.66760454 -0.8426435 ],"[np.float64(0.842643500226742), np.float64(0.8361332358020057)]",0.0,0.0,[]
12,112,Sim_Line,"[(np.float64(0.8354047513309247), np.float64(0.8294099312343852)), (np.float64(0.8205337798208323), np.float64(0.8164003140054262))]",,[ 0.65731127 -0.82796927],"[np.float64(0.8279692655758786), np.float64(0.8229051226199058)]",0.0,0.0,[]
13,113,Sim_Line,"[(np.float64(0.8205337798208323), np.float64(0.8164003140054262)), (np.float64(0.8051868723568256), np.float64(0.8039565412186608))]",,[ 0.64760636 -0.81286033],"[np.float64(0.812860326088829), np.float64(0.8101784276120435)]",0.0,0.0,[]
14,114,Sim_Line,"[(np.float64(0.8051868723568256), np.float64(0.8039565412186608)), (np.float64(0.7893255974217095), np.float64(0.7921748998053778))]",,[ 0.63861447 -0.79725623],"[np.float64(0.7972562348892676), np.float64(0.7980657205120193)]",0.0,0.0,[]
15,115,Sim_Line,"[(np.float64(0.7893255974217095), np.float64(0.7921748998053778)), (np.float64(0.7730559768055909), np.float64(0.7809638431805542))]",,[ 0.63033121 -0.78119079],"[np.float64(0.7811907871136502), np.float64(0.786569371492966)]",0.0,0.0,[]
16,116,Sim_Line,"[(np.float64(0.7730559768055909), np.float64(0.7809638431805542)), (np.float64(0.7563696262879283), np.float64(0.7703833714494505))]",,[ 0.62273105 -0.7647128 ],"[np.float64(0.7647128015467596), np.float64(0.7756736073150023)]",0.0,0.0,[]
17,117,Sim_Line,"[(np.float64(0.7563696262879283), np.float64(0.7703833714494505)), (np.float64(0.73927006093826), np.float64(0.7604847305378872))]",,[ 0.61587008 -0.74781984],"[np.float64(0.7478198436130941), np.float64(0.7654340509936688)]",0.0,0.0,[]
